freq,amp
2.5,0.029747684
3.125,0.063973516
3.75,0.00951606
4.375,0.04526126
5.0,0.04062318
5.625,0.024389902
6.25,0.02958775
6.875,0.03190679
7.5,0.018392386
8.125,0.04917964
8.75,0.035105467
9.375,0.10995448
10.0,0.05661656
10.625,0.12498825
11.25,1.6674696
11.875,2.6202753
12.5,1.0275745
13.125,0.051098846
13.75,0.011435266
14.375,0.014074173
15.0,0.07348958
15.625,0.08156623
16.25,0.04038328
16.875,0.025349505
17.5,0.027108777
18.125,0.0049579474
18.75,0.036704805
19.375,0.027668545
20.0,0.020391557
20.625,0.045181293
21.25,0.047740236
21.875,0.043102156
22.5,0.046140898
23.125,0.43446013
23.75,0.54065615
24.375,0.14953808
25.0,0.02111126
25.625,0.02446987
26.25,0.0236702
26.875,0.024389902
27.5,0.009915895
28.125,0.036944706
28.75,0.04014338
29.375,0.020471524
30.0,0.062933944
30.625,0.06973113
31.25,0.024389902
31.875,0.013754305
32.5,0.012714736
33.125,0.037904307
33.75,0.023110433
34.375,0.11099405
35.0,0.44981378
35.625,0.4330207
36.25,0.0835654
36.875,0.03190679
37.5,0.019112088
38.125,0.010635597
38.75,0.007916722
39.375,0.016393213
40.0,0.016313246
40.625,0.009995862
41.25,0.011915067
41.875,0.009596027
42.5,0.008076656
43.125,0.017032947
43.75,0.0038384108
44.375,0.020871358
45.0,0.023110433
45.625,0.027988411
46.25,0.15593544
46.875,0.5684047
47.5,0.45085335
48.125,0.055417057
48.75,0.02550944
49.375,0.006637252
50.0,0.011035431
50.625,0.012314902
51.25,0.007836755
51.875,0.010475663
52.5,0.009276159
53.125,0.009675994
53.75,0.010635597
54.375,0.01751275
55.0,0.007516888
55.625,0.011915067
56.25,0.016873015
56.875,0.0065572853
57.5,0.02111126
58.125,0.26501027
58.75,0.63941526
59.375,0.39959458
60.0,0.046460763
60.625,0.005357782
61.25,0.009835928
61.875,0.0046380796
62.5,0.007916722
63.125,0.0064773182
63.75,0.0063173845
64.375,0.0055177156
65.0,0.0063173845
65.625,0.0031187087
66.25,0.008076656
66.875,0.0047980137
67.5,0.0019991724
68.125,0.0034385764
68.75,0.009915895
69.375,0.043102156
70.0,0.25093612
70.625,0.4796414
71.25,0.25109604
71.875,0.029027982
72.5,0.012634769
73.125,0.0011195365
73.75,0.0055177156
74.375,0.003758444
75.0,0.004558113
75.625,0.0063973516
76.25,0.011755133
76.875,0.012874669
77.5,0.005357782
78.125,0.0065572853
78.75,0.0060774838
79.375,0.002239073
80.0,0.009596027
80.625,0.0047180466
81.25,0.016153311
81.875,0.17056938
82.5,0.2530952
83.125,0.09691987
83.75,0.010075828
84.375,0.0049579474
85.0,0.0034385764
85.625,0.006157451
86.25,0.010715564
86.875,0.008316557
87.5,0.00359851
88.125,0.0070370864
88.75,0.00719702
89.375,0.004318212
90.0,0.0011195365
90.625,0.0034385764
91.25,0.0041582785
91.875,0.005357782
92.5,0.0068771527
93.125,0.03062732
93.75,0.15065762
94.375,0.17032948
95.0,0.04422169
95.625,0.009036259
96.25,0.0033586095
96.875,0.0064773182
97.5,0.005997517
98.125,0.0057576164
98.75,0.0054377485
99.375,0.0032786427
100.0,0.0031187087
100.625,0.007436921
101.25,0.0060774838
101.875,0.005117881
102.5,0.0060774838
103.125,0.0039983448
103.75,0.0063973516
104.375,0.012314902
105.0,0.083085604
105.625,0.2912394
106.25,0.27332684
106.875,0.062134277
107.5,0.012874669
108.125,0.0070370864
108.75,0.004238245
109.375,0.0047980137
110.0,0.0049579474
110.625,0.0041582785
111.25,0.0015193709
111.875,0.009995862
112.5,0.0049579474
113.125,0.005197848
